Metin,Durum,temiz_yorum,tahmin,dogru_mu
Ürün ikinci kattan düştü sadece çizildi...,1,ürün ikinci kattan düştü sadece çizildi,0,False
tarif edildiği gibi kaliteli bir ürüne benziyor,1,tarif edildiği kaliteli bir ürüne benziyor,1,True
"Ürün çok güzel, kullanışlı, motoru kuvvetli. Fiyatı da uygun",1,ürün güzel kullanışlı motoru kuvvetli fiyatı uygun,1,True
Adaptörü kırık geldiği için yorum yapamıyorum. Görünüşü fena değildi.,0,adaptörü kırık geldiği yorum yapamıyorum görünüşü fena değildi,0,True
arızalı ürün gönderiyo..dikkat edin..iadeaide yokmuş,0,arızalı ürün gönderiyodikkat ediniadeaide yokmuş,0,True
"ürünü nisan ayında satın aldım, saç tıraşı performansı güzel ama sakal için ideal değil. birde şarj olurken pilden ses geliyor şarj süresi gayet makul. 2,5 ay sorunsuz kullandım fakat sonrasında bozuldu, motor kendi kendine yavaşlayarak duruyor, düzeltmek için içini açıp motoru elle döndermek gerekiyor ama sonrasında aynı sorunu tekrar yapıyor.",0,ürünü nisan ayında satın aldım saç tıraşı performansı güzel sakal ideal değil birde şarj olurken pilden ses geliyor şarj süresi gayet makul 25 ay sorunsuz kullandım fakat sonrasında bozuldu motor kendi kendine yavaşlayarak duruyor düzeltmek içini açıp motoru elle döndermek gerekiyor sonrasında aynı sorunu tekrar yapıyor,0,True
SÜPER ÜRÜN SÜPER MAĞZA SÜPER KARGO TEŞEKKÜRLER,1,süper ürün süper mağza süper kargo teşekkürler,1,True
"Ürün gayet başarılı. Gönderici firma gayet özenli kargolamış. Ürün resimde olduğu gibi geldi ve sakal içinde 1-2-3 numara traş başlıkları, mini temizleme fırçası, ince yağ, şarj adaptörü de çöküyor kutudan.",1,ürün gayet başarılı gönderici firma gayet özenli kargolamış ürün resimde olduğu geldi sakal içinde 123 numara traş başlıkları mini temizleme fırçası ince yağ şarj adaptörü çöküyor kutudan,1,True
Ürünü kuaförde görüp de aldım. Cildi tahriş etmiyor ve sarjı çok uzun süre gidiyor.,1,ürünü kuaförde görüp aldım cildi tahriş etmiyor sarjı uzun süre gidiyor,1,True
sadece sakal keseceğini düşündüm ama saçta kesimi yaptım biraz zorlandı sanki ama oldukça başarılı bir makine tavsiye ederm,1,sadece sakal keseceğini düşündüm saçta kesimi yaptım biraz zorlandı oldukça başarılı bir makine tavsiye ederm,1,True
ürünü beğendim bide sipariş verir vermez bir saat içinde kargoya vermesi çok güzel,1,ürünü beğendim bide sipariş verir vermez bir saat içinde kargoya vermesi güzel,1,True
ürün süper hiç çekinmeden alabilirsiniz,1,ürün süper çekinmeden alabilirsiniz,1,True
çok harika tavsiye ederim,1,harika tavsiye ederim,1,True
Güzel ürün sıfıra yakın kesiyor. Micro usb kablosu Eski android şarj kablosu ile şarj edebiliyorsunuz. Resimde boyutu büyük görünüyor ama ufak hoş.,1,güzel ürün sıfıra yakın kesiyor micro usb kablosu eski android şarj kablosu şarj edebiliyorsunuz resimde boyutu büyük görünüyor ufak hoş,1,True
Kargo Hızı Mükemmel her eve diye başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra bu tarz ürünleri bu mağazadan alacağım bir buçuk günde geldi. Yorumlara bakarak aldım pişman olacağımi sanmıyorum,1,kargo hızı mükemmel eve başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra tarz ürünleri mağazadan alacağım bir buçuk günde geldi yorumlara bakarak aldım pişman olacağımi sanmıyorum,1,True
Begenmedim iade ettim,0,begenmedim iade ettim,0,True
kötü bu firma dan almayın,0,kötü firma dan almayın,0,True
ürün kalitesi çok iyi performans olarakta güclü makina,1,ürün kalitesi iyi performans olarakta güclü makina,1,True
"Mağaza bozuk, çalışmayan ürün gönderdi. Defalarca değişim iade talep de bulundum. sürekli oyalayip bahane uydurdular. Sakın almayın bunlardan bir şey.",0,mağaza bozuk çalışmayan ürün gönderdi defalarca değişim iade talep bulundum sürekli oyalayip bahane uydurdular sakın almayın bunlardan bir,0,True
Fiyatına göre iyi çekme yapmıyor.,0,fiyatına göre iyi çekme yapmıyor,1,False
Üründen memnun kalmadım ve iade etmek istedim ama mağaza kabul etmiyor iade vardiye aldanmayın ürüne...,0,üründen memnun kalmadım iade etmek istedim mağaza kabul etmiyor iade vardiye aldanmayın ürüne,0,True
"Ürün kısa sürede geldi, paket özenli idi. Kullanımda rahat 1-2-3mm uçlar var daha fazla olabilirdi, onun haricinde fiyatına göre güzel tavsiye ederim.",1,ürün kısa sürede geldi paket özenli idi kullanımda rahat 123mm uçlar var fazla olabilirdi onun haricinde fiyatına göre güzel tavsiye ederim,1,True
600 lira para verdim moser aldım bir kutu da geldi rezalet. garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım. 100 liraya bu ürünü aldım mükemmel bir traşı var. jilet traşıyla aynı traşı var hemen hemen. çok memnunum.,1,600 lira para verdim moser aldım bir kutu geldi rezalet garanti bandı yok içinde olduğu belli değil hemen kargo elemanını göndermedim geri yolladım 100 liraya ürünü aldım mükemmel bir traşı var jilet traşıyla aynı traşı var hemen hemen memnunum,1,True
"Hayır, beğenmedim",0,hayır beğenmedim,0,True
10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makinenin.Kesik kesik çalışıyor en son kendi kendine çalışmayı durduruyor.Beklediğim gibi değildi,0,10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makineninkesik kesik çalışıyor son kendi kendine çalışmayı durduruyorbeklediğim değildi,0,True
1 saniye bile düsünmeden alın. Resmen sıfır alıyor sakal ve ense icin aldim sonuc mukemmel. Bu kadar olacagini tahmin etmemistim.,1,1 saniye bile düsünmeden alın resmen sıfır alıyor sakal ense icin aldim sonuc mukemmel kadar olacagini tahmin etmemistim,1,True
evet beğendim tavsiye ederim,1,evet beğendim tavsiye ederim,1,True
"bu fiyata bu makina harika, bir çok iyi marka dediğinden daha iyi iş çıkarıyor.",1,fiyata makina harika bir iyi marka dediğinden iyi iş çıkarıyor,1,True
Uzun ömürlü olursa son zamanlarda yaptığım en iyi alışveriş diyebilirim.,1,uzun ömürlü olursa son zamanlarda yaptığım iyi alışveriş diyebilirim,1,True
Ürünü kullanmadım.Ama paketleme çok özensiz. Sanki 3.el ürün gibi,0,ürünü kullanmadımama paketleme özensiz 3el ürün,0,True
ürün çok kaliteli,1,ürün kaliteli,1,True
Bazı arkadaşlar kıl çekiyor/koparıyor demiş. İsterseniz bin tllik tıraş makinesi ile tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle ne bir şikayet aldım ne de kıl çektiğini hissettim kendim de bizzat kullanıyorum gayet iyi daha bugün geldi üç kişide de sorun yok tr-1200 modeli de saç için çok iyi tavsiye ederim,1,arkadaşlar kıl çekiyorkoparıyor demiş isterseniz bin tllik tıraş makinesi tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle bir şikayet aldım kıl çektiğini hissettim kendim bizzat kullanıyorum gayet iyi bugün geldi üç kişide sorun yok tr1200 modeli saç iyi tavsiye ederim,1,True
evet cok iyiydi,1,evet cok iyiydi,1,True
"Moser, Panasonic marka pahalı cihazları kullanmış biri oalrak şunu söyleyebilirim ki parasını fazlasıyla hakl eden bir ürün. 2 bin liralık moser cihazı emekli etti, ben kafamı kazımak ve sert sakalımı tıraş etmek için kullanıoyrum, jilete yakın tıraş yapıyor şiddetle tavsiye ederim",1,moser panasonic marka pahalı cihazları kullanmış oalrak şunu söyleyebilirim parasını fazlasıyla hakl eden bir ürün 2 bin liralık moser cihazı emekli etti ben kafamı kazımak sert sakalımı tıraş etmek kullanıoyrum jilete yakın tıraş yapıyor şiddetle tavsiye ederim,1,True
"ürün için saç da keser yazıp müşteri aldatıyorlar ama ürün asla saç kesimi için tasarlanmamıştır.powertec firması türk ama ürünleri çinden alıyorlar türk malı değil ürünler,arayıp sorabilirsiniz.aliexpresten satın alınsa yarı fiyata alınabilirdi,şimdi olsa asla tr den almam.",0,ürün saç keser yazıp müşteri aldatıyorlar ürün asla saç kesimi tasarlanmamıştırpowertec firması türk ürünleri çinden alıyorlar türk malı değil ürünlerarayıp sorabilirsinizaliexpresten satın alınsa yarı fiyata alınabilirdişimdi olsa asla tr den almam,0,True
"Ürün harika rengi, tutuşu çok güzel. Çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün...",1,ürün harika rengi tutuşu güzel çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün,1,True
makinayı beğendim Berberim zaten,1,makinayı beğendim berberim zaten,1,True
TEŞEKKÜRLER....,1,teşekkürler,1,True
"Ben jiletle sakal tıraşı olmaktan bıktığım için ve jilet tahriş ettiği için aldım, jilet gibi sıfır kesiyor.Ben çok beğendim ve artık jilet kullanmayacağım, hem sakal hem ense için yapılmış on numara bir makina, saç traş için olmaz, saç traş için iki kademeli olanları tercih ediniz.",1,ben jiletle sakal tıraşı olmaktan bıktığım jilet tahriş ettiği aldım jilet sıfır kesiyorben beğendim artık jilet kullanmayacağım sakal ense yapılmış on numara bir makina saç traş olmaz saç traş iki kademeli olanları tercih ediniz,1,True
ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı da başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz,1,ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz,1,True
"Öncelikle ürünü çok geç teslim ettiklerini söylemek istiyorum.. Ürünü açtığımda paketinde verilen taraklardan 1mm ve 3mm olan verilmiş, fakat 2mm olanı göndermemişlerdi. Mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler. Yani ürünü sizin elinize eksik ulaştırıyorlar, bir de tamamlanması için kendi cebinizden kargo parasını da ödüyorsunuz. Mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor, sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor. Tabii ki pratikte hiçbir insan tüm kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri için bu yöntemle paçayı kurtarmaya çalışıyorlar. Ürünü hiçbir şekilde iade almıyorlar. Ürün yanlış,eksik veya kusurlu gelebilir. Ve geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin. Şu ürün için beni 2 haftadır uğraştırdılar.Aldığıma alacağıma bin pişman oldum. Bu ürünü alacaklara bu mağazayı kesinlikle tavsiye etmiyorum.",0,öncelikle ürünü geç teslim ettiklerini söylemek istiyorum ürünü açtığımda paketinde verilen taraklardan 1mm 3mm olan verilmiş fakat 2mm olanı göndermemişlerdi mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler ürünü sizin elinize eksik ulaştırıyorlar bir tamamlanması kendi cebinizden kargo parasını ödüyorsunuz mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor tabii pratikte hiçbir insan kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri yöntemle paçayı kurtarmaya çalışıyorlar ürünü hiçbir şekilde iade almıyorlar ürün yanlışeksik kusurlu gelebilir geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin ürün beni 2 haftadır uğraştırdılaraldığıma alacağıma bin pişman oldum ürünü alacaklara mağazayı kesinlikle tavsiye etmiyorum,0,True
tavsiye ederim emsallerinden iyi,1,tavsiye ederim emsallerinden iyi,1,True
ürün sakallarımı yoluyor bozuk çıktı kargo parasını ben karşılayıp garantiye yollayacakmışım ??,0,ürün sakallarımı yoluyor bozuk çıktı kargo parasını ben karşılayıp garantiye yollayacakmışım,0,True
Ürünü beğendim güzel kesiyor kullanışlı bir ürün,1,ürünü beğendim güzel kesiyor kullanışlı bir ürün,1,True
daha öncede alışverişim oldu sorunsuz zamaninda kargoya çıkarttılar. cihaz eksiksiz ve düzgün saglam calisiyor,1,öncede alışverişim oldu sorunsuz zamaninda kargoya çıkarttılar cihaz eksiksiz düzgün saglam calisiyor,1,True
ürün güzel begendim tıraş oldum hiç çekme yapmıyor,1,ürün güzel begendim tıraş oldum çekme yapmıyor,1,True
Çöp e atacak parası olan HEMEN alsın !!!!,0,çöp e atacak parası olan hemen alsın,0,True
Ürün hemen bozuldu çin malı zaten 3 kullanımda bozuldu alan pişman olur.,0,ürün hemen bozuldu çin malı zaten 3 kullanımda bozuldu alan pişman olur,0,True
"Ürün güzel, iki günde elime ulaştı. Kesim aparatlarının plastik kalitesi iyi gibi duruyor umarım zamanla gevşeyip kırılmaz.",1,ürün güzel iki günde elime ulaştı kesim aparatlarının plastik kalitesi iyi duruyor umarım zamanla gevşeyip kırılmaz,1,True
urun anlatıldığı gibi geldi teşekkürler,1,urun anlatıldığı geldi teşekkürler,1,True
uzun kil sakal saç kısaltma işi yapmıyor. sadece sıfır kesmek ve kısa olanı dahada kısaltmak için kullanılabilir. neredeyse jilete yakın kısalıkta kesiyor.,0,uzun kil sakal saç kısaltma işi yapmıyor sadece sıfır kesmek kısa olanı dahada kısaltmak kullanılabilir neredeyse jilete yakın kısalıkta kesiyor,1,False
Tavsiye ederim güzel alışveriş,1,tavsiye ederim güzel alışveriş,1,True
ürünü beğenmedim sakal almak için yapılmış ama sakalları çekiyor,0,ürünü beğenmedim sakal almak yapılmış sakalları çekiyor,0,True
urun mukemmel tahris etmiyor sakalı sıfır alıyor berber tavsiyesi ile aldim,1,urun mukemmel tahris etmiyor sakalı sıfır alıyor berber tavsiyesi aldim,1,True
İLK İZLENİM OLARAK GAYET GÜZEL KULLANDIKCA GÖRECEĞİZ BAKALIM,1,ilk izlenim olarak gayet güzel kullandikca göreceğiz bakalim,1,True
Herkese tavsiye ederim kesinlikle pişman olmazsınız,1,herkese tavsiye ederim kesinlikle pişman olmazsınız,1,True
evet çizimi güzel,1,evet çizimi güzel,1,True
alacak arkadaşlar gönül rahatlığıyla alabilir sakal traşı olurken bazı makineler gibi kıl çekme yapmıyor çok stabil ve güzel kesiyor vücut içinde mükemmel aynı yerden 4-5 sefer geçmenize dahi gerek yok biz biraz zorlayıp saç traşı bile olduk bu ürün alınır,1,alacak arkadaşlar gönül rahatlığıyla alabilir sakal traşı olurken makineler kıl çekme yapmıyor stabil güzel kesiyor vücut içinde mükemmel aynı yerden 45 sefer geçmenize dahi gerek yok biraz zorlayıp saç traşı bile olduk ürün alınır,1,True
Ürün 20 saatte elime ulaştı teşekkür ederim,1,ürün 20 saatte elime ulaştı teşekkür ederim,1,True
Ürün harika parasını hak ediyor,1,ürün harika parasını hak ediyor,1,True
İlk izlenim olarak gayet güzel ürün. Sessiz çalışıyor. Sıfıra yakın alıyor. Tavsiye ederim. Kutusunda garanti belgesiyle geldi. Şahsen beğendim.,1,ilk izlenim olarak gayet güzel ürün sessiz çalışıyor sıfıra yakın alıyor tavsiye ederim kutusunda garanti belgesiyle geldi şahsen beğendim,1,True
Temiz ve güzel ürün tasfiye ederim..,1,temiz güzel ürün tasfiye ederim,1,True
boş yere markaya para vermeyin derim ürün berberlerin kullandigi ürün büyük markalardan alamadığım verimi bu cihazda aldım. Tavsiye ediyorum,1,boş yere markaya para vermeyin derim ürün berberlerin kullandigi ürün büyük markalardan alamadığım verimi cihazda aldım tavsiye ediyorum,1,True
"Fiyatına göre gayet güçlü, güzel, kullanışlı, kaliteli. Emeği geçenlere teşekkür ederim.",1,fiyatına göre gayet güçlü güzel kullanışlı kaliteli emeği geçenlere teşekkür ederim,1,True
Sıfıra yakın alıyor. Tarakları da özellikle sakal için yeterli,1,sıfıra yakın alıyor tarakları özellikle sakal yeterli,1,True
Ürün çok sesli ve güzel kesmiyor. Ne zaman sakal traşı yapsam ıssırıyor. Yüzüm kan içinde kalıyor.,0,ürün sesli güzel kesmiyor zaman sakal traşı yapsam ıssırıyor yüzüm kan içinde kalıyor,1,False
güzel ürün teşekkür ederim ??,1,güzel ürün teşekkür ederim,1,True
Daha iyisi zor olur,1,iyisi zor olur,0,False
ürünü çok araştırdım bunda karar verdim iyi kide almışım çok zarif çok şık bir makine çift şarj girişi var normal kendi fişi var standlı şarj birde mikro usb girişi var powerbank ilede istediğiniz yerde kullanabilirsiniz tavsiye ederim,1,ürünü araştırdım bunda karar verdim iyi kide almışım zarif şık bir makine çift şarj girişi var normal kendi fişi var standlı şarj birde mikro usb girişi var powerbank ilede istediğiniz yerde kullanabilirsiniz tavsiye ederim,1,True
